subbasin,spawn_year,source,origin,removed,location
Wenatchee,2014,Dryden,Hatchery,16,Below Tumwater
Wenatchee,2014,Dryden,Natural,1,Below Tumwater
Wenatchee,2014,Harvest,Hatchery,135,Harvest
Wenatchee,2014,Harvest,Natural,17,Harvest
Wenatchee,2014,Tumwater,Hatchery,256,Above Tumwater
Wenatchee,2014,Tumwater,Natural,61,Above Tumwater
Wenatchee,2015,Dryden,Hatchery,25,Below Tumwater
Wenatchee,2015,Dryden,Natural,19,Below Tumwater
Wenatchee,2015,Harvest,Hatchery,99,Harvest
Wenatchee,2015,Harvest,Natural,14,Harvest
Wenatchee,2015,Tumwater,Hatchery,680,Above Tumwater
Wenatchee,2015,Tumwater,Natural,52,Above Tumwater
Wenatchee,2016,Dryden,Hatchery,31,Below Tumwater
Wenatchee,2016,Dryden,Natural,7,Below Tumwater
Wenatchee,2016,Harvest,Hatchery,56,Harvest
Wenatchee,2016,Harvest,Natural,8,Harvest
Wenatchee,2016,Tumwater,Hatchery,328,Above Tumwater
Wenatchee,2016,Tumwater,Natural,65,Above Tumwater
Wenatchee,2017,Dryden,Hatchery,13,Below Tumwater
Wenatchee,2017,Dryden,Natural,5,Below Tumwater
Wenatchee,2017,Harvest,Hatchery,0,Harvest
Wenatchee,2017,Harvest,Natural,0,Harvest
Wenatchee,2017,Tumwater,Hatchery,74,Above Tumwater
Wenatchee,2017,Tumwater,Natural,53,Above Tumwater
Wenatchee,2018,Dryden,Hatchery,27,Below Tumwater
Wenatchee,2018,Dryden,Natural,20,Below Tumwater
Wenatchee,2018,Harvest,Hatchery,0,Harvest
Wenatchee,2018,Harvest,Natural,0,Harvest
Wenatchee,2018,Tumwater,Hatchery,59,Above Tumwater
Wenatchee,2018,Tumwater,Natural,53,Above Tumwater
Wenatchee,2019,Dryden,Hatchery,41,Below Tumwater
Wenatchee,2019,Dryden,Natural,31,Below Tumwater
Wenatchee,2019,Harvest,Hatchery,0,Harvest
Wenatchee,2019,Harvest,Natural,0,Harvest
Wenatchee,2019,Tumwater,Hatchery,26,Above Tumwater
Wenatchee,2019,Tumwater,Natural,26,Above Tumwater
Wenatchee,2020,Dryden,Hatchery,39,Below Tumwater
Wenatchee,2020,Dryden,Natural,33,Below Tumwater
Wenatchee,2020,Harvest,Hatchery,0,Harvest
Wenatchee,2020,Harvest,Natural,0,Harvest
Wenatchee,2020,Tumwater,Hatchery,24,Above Tumwater
Wenatchee,2020,Tumwater,Natural,33,Above Tumwater
Wenatchee,2021,Dryden,Hatchery,18,Below Tumwater
Wenatchee,2021,Dryden,Natural,16,Below Tumwater
Wenatchee,2021,Tumwater,Hatchery,41,Above Tumwater
Wenatchee,2021,Tumwater,Natural,46,Above Tumwater
Wenatchee,2022,Dryden,Hatchery,16,Below Tumwater
Wenatchee,2022,Dryden,Natural,0,Below Tumwater
Wenatchee,2022,Tumwater,Hatchery,32,Above Tumwater
Wenatchee,2022,Tumwater,Natural,51,Above Tumwater
